Date,Poids
2023-11-01,125.0
Objectif,110.4
2023-11-02,124.8
2023-11-03,123.8
2023-11-04,123.6
2023-11-05,123.5
2023-11-06,123.8
2023-11-07,122.9
2023-11-08,122.3
2023-11-10,120.8
2023-11-12,121.5
2023-11-13,120.0
2023-11-14,119.8
2023-11-15,118.5
2023-11-16,119.0
2023-11-17,118.5
